State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Karnataka,Chitradurga,626195,50.26,Bharatiya Janata Party,A NARAYANASWAMY,15,75
Karnataka,Dakshina Kannada,774285,57.57,Bharatiya Janata Party,NALIN KUMAR KATEEL,15,75
Karnataka,Davanagere,652996,54.66,Bharatiya Janata Party,G M SIDDESHWAR,15,75
Karnataka,Dharwad,684837,56.43,Bharatiya Janata Party,Pralhad Joshi,15,75
Karnataka,Gulbarga,620192,52.14,Bharatiya Janata Party,DR. UMESH G JADHAV,15,75
Karnataka,Hassan,676606,52.96,Janata Dal (Secular),PRAJWAL REVANNA,15,75
Karnataka,Haveri,683660,53.97,Bharatiya Janata Party,UDASI. S.C.,15,75
Karnataka,Kolar,709165,56.35,Bharatiya Janata Party,S. MUNISWAMY,15,75
Karnataka,Koppal,586783,49.3,Bharatiya Janata Party,KARADI SANGANNA AMARAPPA,15,75
Karnataka,Mandya,703660,51.02,Independent,SUMALATHA AMBAREESH,15,75
Karnataka,Mysore,688974,52.27,Bharatiya Janata Party,PRATHAP SIMHA,15,75
Karnataka,Raichur,598337,53.21,Bharatiya Janata Party,RAJA AMARESHWARA NAIK,15,75
Karnataka,Shimoga,729872,56.86,Bharatiya Janata Party,B.Y.RAGHAVENDRA.,15,75
Karnataka,Tumkur,596127,47.89,Bharatiya Janata Party,G. S. BASAVARAJ,15,75
Karnataka,Udupi Chikmagalur,718916,62.46,Bharatiya Janata Party,SHOBHA KARANDLAJE,15,75
Karnataka,Uttara Kannada,786042,68.15,Bharatiya Janata Party,ANANTKUMAR HEGDE,15,75
Kerala,Alappuzha,445970,40.96,Communist Party of India (Marxist),Adv. A M ARIFF,10,76.4166666
Kerala,Alathur,533815,52.4,Indian National Congress,RAMYA HARIDAS,10,76.4166666
Kerala,Attingal,380995,37.91,Indian National Congress,Adv. ADOOR PRAKASH,10,76.4166666
Kerala,Chalakudy,473444,47.81,Indian National Congress,BENNY BEHANAN,10,76.4166666
Kerala,Ernakulam,491263,50.79,Indian National Congress,HIBI EDEN,10,76.4166666
Kerala,Idukki,498493,54.23,Indian National Congress,Adv. DEAN KURIAKOSE,10,76.4166666
Kerala,Kannur,529741,50.27,Indian National Congress,K. SUDHAKARAN,10,76.4166666
