State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Gujarat,Jamnagar,591588,58.52,Bharatiya Janata Party,POONAMBEN HEMATBHAI MAADAM,22.4707,70.0577
Gujarat,Junagadh,547952,54.51,Bharatiya Janata Party,CHUDASAMA RAJESHBHAI NARANBHAI,21.5222,70.4579
Gujarat,Kachchh,637034,62.26,Bharatiya Janata Party,CHAVDA VINOD LAKHAMSHI,23.7337,69.8597
Gujarat,Kheda,714572,65.04,Bharatiya Janata Party,Chauhan Devusinh,22.7507,72.6847
Gujarat,Mahesana,659525,60.96,Bharatiya Janata Party,SHARDABEN ANILBHAI PATEL,23.588,72.3693
Gujarat,Navsari,972739,74.37,Bharatiya Janata Party,C. R. Patil,20.9467,72.952
Gujarat,Panchmahal,732136,67.56,Bharatiya Janata Party,Ratansinh Magansinh Rathod,22.8011,73.5594
Gujarat,Patan,633368,56.24,Bharatiya Janata Party,DABHI BHARATSINHJI SHANKARJI,23.85,72.121
Gujarat,Porbandar,563881,59.36,Bharatiya Janata Party,RAMESHBHAI LAVJIBHAI DHADUK,21.6417,69.6293
Gujarat,Rajkot,758645,63.47,Bharatiya Janata Party,KUNDARIA MOHANBHAI KALYANJIBHAI,22.3039,70.802
Gujarat,Sabarkantha,701984,57.62,Bharatiya Janata Party,RATHOD DIPSINH SHANKARSINH,23.8477,72.9933
Gujarat,Surat,795651,74.47,Bharatiya Janata Party,Darshana Vikram Jardosh,21.1702,72.8311
Gujarat,Surendranagar,631844,58.63,Bharatiya Janata Party,Dr. MUNJAPARA MAHENDRABHAI,22.7739,71.6673
Gujarat,Vadodara,883719,72.3,Bharatiya Janata Party,RANJANBEN BHATT,22.3072,73.1812
Gujarat,Valsad,771980,61.25,Bharatiya Janata Party,Dr.K.C.PATEL,20.5992,72.9342
Haryana,Ambala,746508,56.72,Bharatiya Janata Party,RATTAN LAL KATARIA,30.3752,76.7821
Haryana,Bhiwani Mahendragarh,736699,63.45,Bharatiya Janata Party,Dharambir Singh,28.7975,76.1322
Haryana,Faridabad,913222,68.8,Bharatiya Janata Party,KRISHAN PAL,28.4089,77.3178
Haryana,Gurgaon,881546,60.94,Bharatiya Janata Party,RAO INDERJIT SINGH,28.4595,77.0266
Haryana,Hisar,603289,51.13,Bharatiya Janata Party,BRIJENDRA SINGH,29.1492,75.7217
Haryana,Karnal,911594,70.08,Bharatiya Janata Party,Sanjay Bhatia,29.6857,76.9905
Haryana,Kurukshetra,688629,55.98,Bharatiya Janata Party,NAYAB SINGH,29.9695,76.8783
Haryana,Rohtak,573845,47.01,Bharatiya Janata Party,ARVIND KUMAR SHARMA,28.8955,76.6066
Haryana,Sirsa,714351,52.16,Bharatiya Janata Party,Sunita Duggal,29.5321,75.0318
Haryana,Sonipat,587664,52.03,Bharatiya Janata Party,RAMESH CHANDER KAUSHIK,28.9931,77.0151
Himachal Pradesh,Hamirpur,682692,69.04,Bharatiya Janata Party,ANURAG SINGH THAKUR,31.6862,76.5213
Himachal Pradesh,Kangra,725218,72.02,Bharatiya Janata Party,Kishan Kapoor,32.0998,76.2691
Himachal Pradesh,Mandi,647189,68.75,Bharatiya Janata Party,RAM SWAROOP SHARMA,31.5892,76.9182
Himachal Pradesh,Shimla,606183,66.35,Bharatiya Janata Party,SURESH KUMAR KASHYAP,31.1048,77.1734
Jammu & Kashmir,Anantnag,40180,32.17,Jammu & Kashmir National Conference,HASNAIN MASOODI,33.7311,75.1487
Jammu & Kashmir,Baramulla,133426,29.29,Jammu & Kashmir National Conference,MOHAMMAD AKBAR LONE,34.1595,74.3587
Jammu & Kashmir,Jammu,858066,58.02,Bharatiya Janata Party,Jugal Kishore,32.7266,74.857
Jammu & Kashmir,Ladakh,42914,33.94,Bharatiya Janata Party,Jamyang Tsering Namgyal,32.733333,74.9
Jammu & Kashmir,Srinagar,106750,57.14,Jammu & Kashmir National Conference,Farooq Abdullah,34.0837,74.7973
Jammu & Kashmir,Udhampur,724311,61.38,Bharatiya Janata Party,DR. JITENDRA SINGH,32.916,75.1416
Jharkhand,Chatra,528077,57.03,Bharatiya Janata Party,SUNIL KUMAR SINGH,24.2065,84.8718
Jharkhand,Dhanbad,827234,66.03,Bharatiya Janata Party,PASHUPATI NATH SINGH,23.7957,86.4304
Jharkhand,Dumka,484923,47.26,Bharatiya Janata Party,SUNIL SOREN,23.75,85.5
Jharkhand,Giridih,648277,58.57,AJSU Party,Chandra Prakash Choudhary,24.1913,86.2996
Jharkhand,Godda,637610,53.4,Bharatiya Janata Party,Nishikant Dubey,23.75,85.5
Jharkhand,Hazaribagh,728798,67.42,Bharatiya Janata Party,JAYANT SINHA,23.9925,85.3637
Jharkhand,Jamshedpur,679632,59.4,Bharatiya Janata Party,Bidyut Baran Mahato,22.8046,86.2029
Jharkhand,Khunti,382638,45.97,Bharatiya Janata Party,ARJUN MUNDA,23.0798,85.2774
Jharkhand,Kodarma,753016,62.26,Bharatiya Janata Party,ANNPURNA DEVI,24.4677,85.5934
Jharkhand,Lohardaga,371595,45.45,Bharatiya Janata Party,SUDARSHAN BHAGAT,23.43,84.68
Jharkhand,Palamau,755659,62.46,Bharatiya Janata Party,VISHNU DAYAL RAM,22.85,86.21
Jharkhand,Rajmahal,507830,48.47,Jharkhand Mukti Morcha,VIJAY KUMAR HANSDAK,23.8,86.28
Jharkhand,Ranchi,706828,57.21,Bharatiya Janata Party,SANJAY SETH,23.3441,85.3096
Jharkhand,Singhbhum,431815,49.11,Indian National Congress,GEETA KORA,22.4867,86.4997
Karnataka,Bagalkot,664638,55.17,Bharatiya Janata Party,Gaddigoudar Parvatagouda Chandanagouda,16.1691,75.6615
Karnataka,Bangalore central,602853,50.35,Bharatiya Janata Party,P. C. Mohan,12.97,77.56
Karnataka,Bangalore North,824500,52.87,Bharatiya Janata Party,D.V. Sadananda Gowda,12.6,77.56
Karnataka,Bangalore Rural,878258,54.15,Indian National Congress,D.K. SURESH,12.5,77.56
Karnataka,Bangalore South,739229,62.2,Bharatiya Janata Party,TEJASVI SURYA,13.1,75.56
Karnataka,Belgaum,761991,63.22,Bharatiya Janata Party,ANGADI SURESH CHANNABASAPPA,15.8497,74.4977
Karnataka,Bellary,616388,50.44,Bharatiya Janata Party,Y. DEVENDRAPPA,15.14,76.91
